total_packets,unique_ports,syn_packets,syn_ratio,avg_packet_size,packet_rate
248,73,78,0.31451612903225806,607.5958366235699,52.61722904159845
336,64,78,0.23214285714285715,422.31237677675426,284.31766443715435
236,67,54,0.2288135593220339,360.1346504003941,219.51065591364298
189,65,160,0.8465608465608465,392.1269597357976,89.20657245973098
431,68,330,0.765661252900232,1028.6506976816227,292.452149258751
207,41,191,0.9227053140096618,433.1350734637557,52.628060923540346
346,58,82,0.23699421965317918,414.93579713467545,285.710560706928
322,56,196,0.6086956521739131,1305.7235853066693,269.04791172572845
446,25,444,0.9955156950672646,459.23890711342864,264.9709644590804
120,54,106,0.8833333333333333,1248.9577860153981,187.8574076965402
126,26,76,0.6031746031746031,1358.8144860851362,298.4254956305749
108,22,97,0.8981481481481481,986.5292907390108,156.0536465551022
270,76,266,0.9851851851851852,918.6027390476808,54.722331564378514
478,97,384,0.803347280334728,1312.4273227105193,58.35995038617729
267,39,100,0.37453183520599254,1286.5378024088875,164.72297008633956
364,72,284,0.7802197802197802,1331.7908588804703,65.51707931087792
191,79,144,0.7539267015706806,721.063428563679,268.98480544108463
431,59,246,0.5707656612529002,1458.07761852316,296.9477841272534
303,28,287,0.9471947194719472,1477.5113058965949,184.11140410717954
274,85,250,0.9124087591240876,1331.874682294002,237.65601240289658
364,20,133,0.36538461538461536,287.63141872781665,255.0542793364506
500,42,368,0.736,211.08675998475996,143.49191919134716
424,66,184,0.4339622641509434,497.92701569759885,243.67430046012706
107,39,73,0.6822429906542056,265.2201546331108,152.38399519255688
455,75,243,0.5340659340659341,305.4104008593892,212.82691809191255
485,38,420,0.865979381443299,955.1748785085784,171.84151241472523
213,57,58,0.27230046948356806,793.8562013765876,282.64824055203843
281,51,247,0.8790035587188612,738.9098717522169,283.47273849574503
233,34,145,0.6223175965665236,729.5151349755666,160.66859556413362
292,31,91,0.3116438356164384,1190.6411387779413,89.54939012006986
449,76,210,0.46770601336302897,1081.3522705961473,236.71612916145872
370,88,268,0.7243243243243244,1087.0987629292158,133.38615913563305
155,67,130,0.8387096774193549,409.90905409341013,53.65427005610314
141,68,57,0.40425531914893614,1375.2491113935723,242.46786736334974
352,97,329,0.9346590909090909,335.5674079055773,126.924016703284
305,93,153,0.5016393442622951,1274.3776527198745,110.83051854202361
371,95,335,0.9029649595687331,1219.718972662797,254.2645801130714
303,24,191,0.6303630363036303,1462.09950534002,109.63084481453703
230,56,113,0.49130434782608695,858.1977716220781,83.51871389639908
100,63,62,0.62,1158.783554104668,127.57986877542378
442,43,343,0.7760180995475113,218.19634163274202,204.39889423223764
425,35,294,0.691764705882353,619.3060479736201,109.5092892536499
385,52,261,0.6779220779220779,1174.4805904897466,196.28798491211919
159,89,75,0.4716981132075472,491.6324681313135,269.4641312384255
420,24,374,0.8904761904761904,442.1438216162842,224.82413055870092
183,41,119,0.6502732240437158,580.8760665698057,286.328913821845
288,32,106,0.3680555555555556,1321.4701652192296,176.76225926006714
392,99,302,0.7704081632653061,836.111694304514,288.07593753157886
221,58,153,0.6923076923076923,1371.6425020711974,117.1114079749231
347,21,159,0.45821325648414984,680.8210239553416,252.0081617957839
211,39,100,0.47393364928909953,867.6018474903508,289.22749132956176
355,86,94,0.2647887323943662,491.4491329213871,195.31478120630155
213,46,186,0.8732394366197183,508.41970841545424,206.7718801295655
294,98,76,0.2585034013605442,1007.7765653850588,188.96261311460967
108,54,104,0.9629629629629629,283.42878288462384,175.17971056959442
426,65,79,0.18544600938967137,531.3925701416342,133.7135363253438
410,63,149,0.36341463414634145,430.2733573627288,71.02858686681836
499,51,71,0.14228456913827656,329.32614640855223,69.42562482897935
299,73,77,0.25752508361204013,1400.585481680029,136.11675774991738
434,64,344,0.7926267281105991,420.00569713080426,155.46212878709088
